noisy,ideal,mitigated,mae_noisy,mae_mitigated
"[0.631103515625, 0.154541015625, 0.1728515625, 0.04150390625]","[0.76953125, 0.062255859375, 0.161865234375, 0.00634765625]","[0.919376790523529, 0.030808623880147934, 0.02026832476258278, 0.02954629622399807]",0.0692138671875,0.0865220814011991
"[0.112060546875, 0.765869140625, 0.051025390625, 0.071044921875]","[0.02685546875, 0.94189453125, 0.010498046875, 0.020751953125]","[0.8129288554191589, 0.07389810681343079, 0.04478536173701286, 0.06838764250278473]",0.0880126953125,0.43399820383638144
"[0.1552734375, 0.736328125, 0.052734375, 0.0556640625]","[0.0654296875, 0.913330078125, 0.02099609375, 0.000244140625]","[0.8232890367507935, 0.06970132142305374, 0.04236714169383049, 0.06464249640703201]",0.0885009765625,0.42181437741965055
"[0.178955078125, 0.55615234375, 0.1123046875, 0.152587890625]","[0.130859375, 0.642822265625, 0.0869140625, 0.139404296875]","[0.8398849368095398, 0.06278539448976517, 0.03915688395500183, 0.05817285180091858]",0.0433349609375,0.35451276414096355
"[0.6181640625, 0.181640625, 0.14404296875, 0.05615234375]","[0.726318359375, 0.120849609375, 0.129638671875, 0.023193359375]","[0.9171851873397827, 0.03186929598450661, 0.02067152038216591, 0.03027404099702835]",0.0540771484375,0.09897374361753464
"[0.38037109375, 0.116943359375, 0.39794921875, 0.104736328125]","[0.43994140625, 0.062255859375, 0.44580078125, 0.052001953125]","[0.8946830034255981, 0.03944826126098633, 0.027200018987059593, 0.03866869956254959]",0.0537109375,0.22737080277875066
"[0.07421875, 0.06787109375, 0.0732421875, 0.78466796875]","[0.008056640625, 0.010498046875, 0.000244140625, 0.981201171875]","[0.8525908589363098, 0.06275588274002075, 0.03610268980264664, 0.048550594598054886]",0.0982666015625,0.4663252951577306
"[0.155029296875, 0.461181640625, 0.128662109375, 0.255126953125]","[0.107421875, 0.546630859375, 0.085205078125, 0.2607421875]","[0.8413019776344299, 0.06276333332061768, 0.039082519710063934, 0.05685212090611458]",0.0455322265625,0.36694006342440844
"[0.627685546875, 0.15966796875, 0.175537109375, 0.037109375]","[0.7421875, 0.079345703125, 0.173583984375, 0.0048828125]","[0.918886661529541, 0.030969880521297455, 0.02039610780775547, 0.02974744699895382]",0.0572509765625,0.10078187379986048
"[0.08251953125, 0.060791015625, 0.07666015625, 0.780029296875]","[0.019287109375, 0.0048828125, 0.0, 0.975830078125]","[0.8540590405464172, 0.06203547120094299, 0.03577278554439545, 0.048132698982954025]",0.097900390625,0.4638486886397004
"[0.23681640625, 0.29931640625, 0.0634765625, 0.400390625]","[0.193359375, 0.327392578125, 0.01171875, 0.467529296875]","[0.8626155257225037, 0.0555122010409832, 0.03368993476033211, 0.04818233475089073]",0.047607421875,0.34561366867274046
"[0.072998046875, 0.480224609375, 0.06787109375, 0.37890625]","[0.007080078125, 0.5673828125, 0.007568359375, 0.41796875]","[0.8238431215286255, 0.07134981453418732, 0.04299505800008774, 0.06181195378303528]",0.0631103515625,0.42609488405287266
"[0.10400390625, 0.669189453125, 0.0341796875, 0.192626953125]","[0.005615234375, 0.804443359375, 0.0009765625, 0.18896484375]","[0.8175435066223145, 0.07258722186088562, 0.04378357529640198, 0.06608572602272034]",0.067626953125,0.4273676350712776
"[0.112060546875, 0.6533203125, 0.065673828125, 0.1689453125]","[0.027587890625, 0.805419921875, 0.0166015625, 0.150390625]","[0.820722758769989, 0.0708528459072113, 0.043275825679302216, 0.06514860689640045]",0.0760498046875,0.40990455634891987
"[0.43603515625, 0.234130859375, 0.26025390625, 0.069580078125]","[0.49609375, 0.201416015625, 0.27197265625, 0.030517578125]","[0.8959439992904663, 0.03960500285029411, 0.026397304609417915, 0.03805365040898323]",0.035888671875,0.20369317149743438
"[0.6494140625, 0.122802734375, 0.197998046875, 0.02978515625]","[0.793701171875, 0.00146484375, 0.20458984375, 0.000244140625]","[0.9221550226211548, 0.029558725655078888, 0.019695309922099113, 0.028590945526957512]",0.075439453125,0.09244726784527302
"[0.700439453125, 0.07421875, 0.0673828125, 0.157958984375]","[0.868408203125, 0.008544921875, 0.00927734375, 0.11376953125]","[0.92774498462677, 0.02828184887766838, 0.01779499277472496, 0.026178233325481415]",0.083984375,0.043795663863420486
